time,lat(N),lon(E),alt
163416.077,     NaN,     NaN,     NaN
163417.081,     NaN,     NaN,     NaN
163418.081,     NaN,     NaN,     NaN
163419.079,     NaN,     NaN,     NaN
163420.079,     NaN,     NaN,     NaN
163421.079,     NaN,     NaN,     NaN
163422.08,     NaN,     NaN,     NaN
163423.08,     NaN,     NaN,     NaN
163424.08,     NaN,     NaN,     NaN
163425.08,     NaN,     NaN,     NaN
163426.08,     NaN,     NaN,     NaN
163427.079,     NaN,     NaN,     NaN
163428.079,     NaN,     NaN,     NaN
163429.079,     NaN,     NaN,     NaN
163430.079,     NaN,     NaN,     NaN
163431.078,     NaN,     NaN,     NaN
163432.078,     NaN,     NaN,     NaN
163433.078,     NaN,     NaN,     NaN
163434.078,     NaN,     NaN,     NaN
163435.078,     NaN,     NaN,     NaN
163436.079,     NaN,     NaN,     NaN
163437.078,     NaN,     NaN,     NaN
163438.079,     NaN,     NaN,     NaN
163439.078,     NaN,     NaN,     NaN
163440.079,     NaN,     NaN,     NaN
163441.079,     NaN,     NaN,     NaN
163442.079,     NaN,     NaN,     NaN
163443.079,     NaN,     NaN,     NaN
163444.08,     NaN,     NaN,     NaN
163445.078,     NaN,     NaN,     NaN
163446.079,     NaN,     NaN,     NaN
163447.078,     NaN,     NaN,     NaN
163448.078,     NaN,     NaN,     NaN
163449.079,     NaN,     NaN,     NaN
163450.078,     NaN,     NaN,     NaN
163451.079,     NaN,     NaN,     NaN
163452.079,     NaN,     NaN,     NaN
163453.079,     NaN,     NaN,     NaN
163454.079,     NaN,     NaN,     NaN
163455.079,     NaN,     NaN,     NaN
163456.079,     NaN,     NaN,     NaN
163457.079,     NaN,     NaN,     NaN
163458.079,     NaN,     NaN,     NaN
163459.079,     NaN,     NaN,     NaN
163500.078,     NaN,     NaN,     NaN
163501.078,     NaN,     NaN,     NaN
163502.079,     NaN,     NaN,     NaN
163503.078,     NaN,     NaN,     NaN
163504.078,     NaN,     NaN,     NaN
163505.079,     NaN,     NaN,     NaN
163506.079,     NaN,     NaN,     NaN
163507.079,     NaN,     NaN,     NaN
163508.079,     NaN,     NaN,     NaN
163509.078,     NaN,     NaN,     NaN
163510.079,     NaN,     NaN,     NaN
163511.079,     NaN,     NaN,     NaN
163512.078,     NaN,     NaN,     NaN
163513.078,     NaN,     NaN,     NaN
163514.078,     NaN,     NaN,     NaN
163515.078,     NaN,     NaN,     NaN
163516.077,     NaN,     NaN,     NaN
163517.079,     NaN,     NaN,     NaN
163518.078,     NaN,     NaN,     NaN
163519.08,     NaN,     NaN,     NaN
163520.079,     NaN,     NaN,     NaN
163521.08,     NaN,     NaN,     NaN
163522.079,     NaN,     NaN,     NaN
163523.079,     NaN,     NaN,     NaN
163524.078,     NaN,     NaN,     NaN
163525.079,     NaN,     NaN,     NaN
163526.078,     NaN,     NaN,     NaN
163527.078,     NaN,     NaN,     NaN
163528.077,     NaN,     NaN,     NaN
163529.078,     NaN,     NaN,     NaN
163530.078,     NaN,     NaN,     NaN
163531.079,     NaN,     NaN,     NaN
163532.078,     NaN,     NaN,     NaN
163533.08,     NaN,     NaN,     NaN
163534.079,     NaN,     NaN,     NaN
163535.08,     NaN,     NaN,     NaN
163536.079,     NaN,     NaN,     NaN
163537.079,     NaN,     NaN,     NaN
163538.079,     NaN,     NaN,     NaN
163539.079,     NaN,     NaN,     NaN
163540.078,     NaN,     NaN,     NaN
163541.078,     NaN,     NaN,     NaN
163542.078,     NaN,     NaN,     NaN
163543.078,     NaN,     NaN,     NaN
163544.078,     NaN,     NaN,     NaN
163545.078,     NaN,     NaN,     NaN
163546.078,     NaN,     NaN,     NaN
163547.079,     NaN,     NaN,     NaN
163548.079,     NaN,     NaN,     NaN
163549.079,     NaN,     NaN,     NaN
163550.079,     NaN,     NaN,     NaN
163551.079,     NaN,     NaN,     NaN
163552.079,     NaN,     NaN,     NaN
163553.078,     NaN,     NaN,     NaN
163554.078,     NaN,     NaN,     NaN
163555.078,     NaN,     NaN,     NaN
163556.078,     NaN,     NaN,     NaN
163557.08,     NaN,     NaN,     NaN
163558.076,     NaN,     NaN,     NaN
163559.076,4222.002,-7103.6489,23
163600.076,4222.0085,-7103.6575,42.1
163601.076,4222.0226,-7103.6842,4.8
163602.075,4222.0293,-7103.6867,3.1
163603,4222.0371,-7103.6909,6.7
163604,4222.0454,-7103.692,12.4
163605,4222.0539,-7103.7,14.8
163606,4222.0623,-7103.7094,15.2
163607,4222.0707,-7103.7188,15.7
163608,4222.079,-7103.7282,16.5
163609,4222.0869,-7103.7375,17.3
163610,4222.095,-7103.7467,18.1
163611,4222.1031,-7103.7559,18.8
163612,4222.1113,-7103.765,20
163613,4222.1192,-7103.7741,21.1
163614,4222.127,-7103.7831,22.2
163615,4222.1347,-7103.792,23.2
163616,4222.1424,-7103.8007,24.1
163617,4222.1502,-7103.8094,24.9
163618,4222.1581,-7103.8182,25.5
163619,4222.166,-7103.8271,26.1
163620,4222.1739,-7103.8361,26.6
163621,4222.1819,-7103.8452,27.2
163622,4222.1899,-7103.8543,27.5
163623,4222.198,-7103.8635,27.9
163624,4222.2063,-7103.8728,28.2
163625,4222.2146,-7103.8825,28.2
163626,4222.223,-7103.8924,28.2
163627,4222.2316,-7103.9027,28.3
163628,4222.2402,-7103.9133,28.5
163629,4222.2487,-7103.9241,28.7
163630,4222.2571,-7103.9351,29.1
163631,4222.2654,-7103.9463,29.5
